DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Sofia,2008,3437.30,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Sofia,2011,3256.94,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Plovdiv,2008,2834.44,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Plovdiv,2011,3256.94,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Varna,2008,3479.49,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Varna,2011,3256.94,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Burgas,2008,4067.08,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Burgas,2011,3256.94,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Pleven,2008,2813.75,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Pleven,2011,2703.51,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Ruse,2008,2801.92,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Ruse,2011,3256.94,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Vidin,2008,2123.25,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Vidin,2011,2227.30,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Stara Zagora,2008,3254.25,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Stara Zagora,2011,3256.94,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Sliven,2011,2703.51,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Dobrich,2011,2703.51,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Shumen,2011,2703.51,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Pernik,2011,2703.51,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Yambol,2011,2703.51,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Haskovo,2011,2703.51,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Pazardzhik,2011,2703.51,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Blagoevgrad,2011,2468.39,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Veliko Tarnovo,2011,2227.30,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Vratsa,2011,2468.39,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Switzerland,1998,40128.20,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Switzerland,2001,45499.58,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Switzerland,2004,45127.34,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Cyprus,1997,19159.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Cyprus,2003,28538.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Lefkosia (greater city),1997,23364.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Lefkosia (greater city),2003,32950.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Czechia,2011,5294.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Praha,2002,6963.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Praha,2011,6607.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Brno,2002,6067.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Brno,2011,5250.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Ostrava,2002,5814.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Ostrava,2011,4869.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Plzeň,2002,6276.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Plzeň,2011,5250.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Ústí nad Labem,2002,5467.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Ústí nad Labem,2011,5172.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Olomouc,2011,4890.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Liberec (greater city),2011,5121.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,České Budějovice,2011,5250.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hradec Králové,2011,5121.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Pardubice,2011,5121.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Zlín,2011,4890.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Kladno,2011,5794.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Karlovy Vary,2011,5172.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Jihlava,2011,5250.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Havířov,2011,4869.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Most,2011,5172.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Karviná,2011,4869.00,e,
