year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany
2021,Chemnitz,34558,172664,131,243,101.98,0.25,1
2021,Dortmund,97685,323595,325,1489,134.7,0.6583,0
2021,Dresden,59566,311164,226,1638,192.08,0.6,1
2021,Duisburg,83154,269664,141,591,130.93,0.6479,0
2021,Düsseldorf,221849,663495,3486,12039,168.5,0.5091,0
2021,Erfurt,28680,119277,136,690,201.7,NA,NA
2021,Frankfurt,80475,394293,435,3162,179.18,0.4497,0
2021,Hamburg,259939,967821,1332,7314,196.94,0.535,0
2021,Karlsruhe,644699,1436733,3729,10355,166.27,0.2478,0
2021,Köln,317045,923051,4887,14994,176.76,0.7003,0
2021,Lübeck,43749,122603,260,886,163.22,0.1959,0
2021,Münster,184274,390817,3492,9248,174.53,0.3931,0
2021,Potsdam,44450,127985,728,2721,204.02,0.2,1
2021,Stuttgart,925004,2063076,4914,14487,183.35,0.2979,0
2021,Wiesbaden,38503,145407,255,1235,127.05,0.2235,0
2022,Berlin,368745,2134404,3140,30736,202.53,0.3703,0
2022,Bonn,57355,174109,127,625,151.56,0.472,0
2022,Chemnitz,34689,172907,128,253,101.81,0.25,1
2022,Dortmund,98010,325084,320,1964,134.43,0.6583,0
2022,Dresden,59792,312802,240,1990,186.78,0.6,1
2022,Duisburg,83295,270255,123,707,131.62,0.6479,0
2022,Düsseldorf,225335,675534,3020,11084,172.99,0.5091,0
2022,Erfurt,28816,119967,69,325,203.11,NA,NA
2022,Frankfurt,80910,397455,309,2612,174.26,0.4497,0
2022,Hamburg,261271,975135,1476,8656,196.36,0.535,0
2022,Karlsruhe,648428,1447088,3944,9956,167.03,0.2478,0
2022,Köln,321932,938045,4978,14079,181.11,0.7003,0
2022,Lübeck,44009,123489,185,833,167.24,0.1959,0
2022,Münster,187766,400065,3377,10018,174.94,0.3931,0
2022,Potsdam,45178,130706,606,1253,216.5,0.2,1
2022,Stuttgart,929918,2077563,4662,12522,172.89,0.2979,0
2022,Wiesbaden,38758,146642,377,1839,123.14,0.2235,0
2023,Berlin,371885,2165140,2872,28862,168.79,0.3703,0
2023,Bonn,57482,174734,92,700,126.54,0.472,0
2023,Chemnitz,34817,173160,145,280,85,0.25,1
2023,Dortmund,98330,327048,226,1180,118,0.6583,0
2023,Dresden,60032,314792,233,1862,160.91,0.6,1
2023,Duisburg,83418,270962,188,515,107.36,0.6479,0
2023,Düsseldorf,228355,686618,3006,10946,144.54,0.5091,0
2023,Erfurt,28885,120292,92,552,171.87,NA,NA
2023,Frankfurt,81219,400067,270,2948,143.39,0.4497,0
2023,Hamburg,262747,983791,1092,5620,162.72,0.535,0
2023,Karlsruhe,652372,1457044,3711,9572,144.77,0.2478,0
2023,Köln,326910,952124,4576,16007,148.36,0.7003,0
2023,Lübeck,44194,124322,183,563,141.55,0.1959,0
2023,Münster,191143,410083,3015,10542,147.72,0.3931,0
2023,Potsdam,45784,131959,763,1917,181.93,0.2,1
2023,Stuttgart,934580,2090085,4905,14676,155.02,0.2979,0
2023,Wiesbaden,39135,148481,250,1328,100.78,0.2235,0
2024,Berlin,374757,2194002,3110,29230,155.41,0.3703,0
2024,Bonn,57574,175434,141,1309,115.35,0.472,0
2024,Chemnitz,34962,173440,128,248,80.24,0.25,1
2024,Dortmund,98556,328228,238,1249,114.82,0.6583,0
2024,Dresden,60265,316654,181,1486,151.04,0.6,1
2024,Duisburg,83606,271477,157,525,104,0.6479,0
2024,Düsseldorf,231361,697564,2196,9127,146.92,0.5091,0
2024,Erfurt,28977,120844,66,240,158.86,NA,NA
2024,Frankfurt,81489,403015,280,3529,139.66,0.4497,0
2024,Hamburg,263839,989411,966,7900,154.61,0.535,0
2024,Karlsruhe,656083,1466616,2995,8423,133.18,0.2478,0
2024,Köln,331486,968131,3489,11683,133.9,0.7003,0
2024,Lübeck,44377,124885,117,664,139.73,0.1959,0
2024,Münster,194158,420625,2268,7292,142.05,0.3931,0
2024,Potsdam,46547,133876,583,1839,182.71,0.2,1
2024,Stuttgart,939485,2104761,4105,12502,138.78,0.2979,0
2024,Wiesbaden,39385,149809,106,510,92.63,0.2235,0
