year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany,income,interpolated,grow5_index_ann,grow5_hu_ann,p_q5,growth5sum,inelasticity_cutoff,demand_cutoff,inelasticity_cutoff_lag,demand_cutoff_lag,p_q5_lag,growth5sum_lag,superstar,growth_window
2004,Hamburg,233405,875355,1699,3473,94.03,0.535,0,19400,FALSE,-0.01223578760668409,0.004006093917815257,-3.0542937479001835,-0.008229693688868833,-4.645460020760627,-0.018293034402075248,-2.1646251246429538,-0.009059859634300393,-2.5675412587547606,-0.010068499553599453,0,2000-2004
2004,Karlsruhe,569539,1294927,5853,8918,93.08,0.2478,0,19200,FALSE,-0.014239810531905706,0.0062854931139304515,-2.2655041177829327,-0.007954317417975254,-4.645460020760627,-0.018293034402075248,-2.1646251246429538,-0.009059859634300393,-3.7513332218776694,-0.028988357301260148,0,2000-2004
2004,Köln,208709,687242,10145,17171,93.44,0.7003,0,19700,FALSE,-0.013478474199181467,0.02177547481508646,-0.6189749850985259,0.008297000615904992,-4.645460020760627,-0.018293034402075248,-2.1646251246429538,-0.009059859634300393,-0.4171468902184215,0.02273900223380243,1,2000-2004
2004,Lübeck,40328,114390,272,514,77.74,0.1959,0,18600,TRUE,-0.04911300601322344,0.00276960788529812,-17.73283729943487,-0.04634339812792532,-4.645460020760627,-0.018293034402075248,-2.1646251246429538,-0.009059859634300393,-4.943654355573521,-0.029305742100585452,0,2000-2004
2004,München,137663,736755,2368,8222,97.06,0.33,0,21700,FALSE,-0.005950394262431158,0.0070663539675859255,-0.8420741856021101,0.0011159597051547676,-4.645460020760627,-0.018293034402075248,-2.1646251246429538,-0.009059859634300393,-1.3171552082380416,-0.0026368310344099255,1,2000-2004
2004,Münster,108123,246913,6931,9777,89.84,0.3931,0,20600,TRUE,-0.021200027110763076,0.04107485628287044,-0.5161314981789523,0.019874829172107367,-4.645460020760627,-0.018293034402075248,-2.1646251246429538,-0.009059859634300393,-0.12168181989446579,0.0629913508773291,1,2000-2004
2004,Potsdam,27123,97341,1301,1661,95.87,0.2,1,18500,FALSE,-0.008399937488280274,0.019341235811255686,-0.4343020048073612,0.010941298322975412,-4.645460020760627,-0.018293034402075248,-2.1646251246429538,-0.009059859634300393,-0.94374136801045,0.002922107160537313,1,2000-2004
2004,Stuttgart,829151,1846684,8067,14126,95.16,0.2979,0,22000,FALSE,-0.009873038474265017,0.006944730349711881,-1.421659010083037,-0.002928308124553136,-4.645460020760627,-0.018293034402075248,-2.1646251246429538,-0.009059859634300393,-2.2355973701600944,-0.013479516271713732,0,2000-2004
2004,Wiesbaden,35427,136895,228,613,85.26,0.2235,0,21500,FALSE,-0.03138973851704174,0.0038753232699519913,-8.099901951516578,-0.027514415247089752,-4.645460020760627,-0.018293034402075248,-2.1646251246429538,-0.009059859634300393,-2.0936528791258127,-0.007434111318833425,0,2000-2004
2005,Berlin,309178,1884101,2151,3184,80.11,0.3703,0,17900,FALSE,-0.03358157675908591,0.0017979907742464718,-18.677279794808605,-0.031783585984839435,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-4.134430157838004,-0.02175250642058113,0,NA
2005,Bonn,53041,158543,259,541,87.55,0.472,0,23400,FALSE,-0.0062544135174898985,0.004255815481028158,-1.4696157635055411,-0.0019985980364617406,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-2.8173978494881684,-0.013415647312555401,0,NA
2005,Chemnitz,31454,167656,269,322,89.37,0.25,1,18000,FALSE,-0.01480519241988787,0.0025350315127365963,-5.840239991299158,-0.012270160907151273,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-1.83502749346362,-0.008093810459643969,0,NA
2005,Dortmund,89708,307163,602,826,80.46,0.6583,0,19300,FALSE,-0.03572358958841404,0.004676121713077075,-7.639576508137229,-0.031047467875336965,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-3.9485645799969578,-0.01448412266994692,0,NA
2005,Dresden,53242,290164,484,583,85.57,0.6,1,16600,FALSE,-0.018971120506115824,0.002114224846621493,-8.973085590414595,-0.01685689565949433,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-2.3816528182926815,-0.019813527750856208,0,NA
2005,Duisburg,79021,261442,415,692,73.85,0.6479,0,19300,FALSE,-0.03884672539994227,0.0026859615518273205,-14.462874709994997,-0.03616076384811495,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-7.093812076620808,-0.02594510560953589,0,NA
2005,Düsseldorf,147247,497795,6707,11007,88.89,0.5091,0,20600,FALSE,-0.017856836254561248,0.024244647292972044,-0.7365269553637733,0.0063878110384107956,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-0.3678141092846084,0.028654295247723782,1,NA
2005,Erfurt,25902,114349,265,465,89.77,NA,NA,17400,FALSE,-0.02428163475031997,0.0038750221465271295,-6.266192509914206,-0.02040661260379284,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-3.605088067728241,-0.027203517398500687,0,NA
2005,Frankfurt,71891,346437,620,2583,85.71,0.4497,0,15700,FALSE,-0.031239749558862218,0.004448590387022611,-7.022392902253834,-0.026791159171839607,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-1.5195920260674045,-0.002841556878260376,0,NA
2005,Hamburg,235104,878828,1442,2836,91.72,0.535,0,20100,FALSE,-0.012208773722363286,0.0034508982593977056,-3.5378538585180186,-0.00875787546296558,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-2.115390158129152,-0.006639992040415765,0,NA
2005,Karlsruhe,575392,1303845,5634,8357,89.38,0.2478,0,20800,FALSE,-0.016472890046985822,0.005641363998506899,-2.9200189974172392,-0.010831526048478923,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-1.9477758289579084,-0.008962080045929244,1,NA
2005,Köln,218854,704413,8597,14323,91.32,0.7003,0,20000,FALSE,-0.01498334767861964,0.019479790730385416,-0.7691739549977799,0.004496443051765775,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-0.46148705804079254,0.01911929585793193,1,NA
2005,Lübeck,40600,114904,294,408,78.18,0.1959,0,18500,FALSE,-0.03507406837480431,0.0032249380196327504,-10.875889136870445,-0.03184913035517156,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-6.326990963069535,-0.03169967108573335,0,NA
2005,München,140031,744977,1805,6476,94.95,0.33,0,22900,FALSE,-0.013544457636859963,0.0068971659193430845,-1.963771467186916,-0.006647291717516879,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-0.08675784343997268,0.007440136106388384,1,NA
2005,Münster,115054,256690,6011,8572,87.49,0.3931,0,20600,FALSE,-0.02101048025854335,0.03507193637148309,-0.599068156260312,0.01406145611293974,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-0.16623257420329246,0.055054961727855956,1,NA
2005,Potsdam,28424,99002,1314,1678,101.83,0.2,1,17700,FALSE,0.0036736494088629446,0.01577629291817928,0.23285884890167946,0.019449942327042224,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-0.8877279585226182,0.00464092308613806,1,NA
2005,Stuttgart,837218,1860810,7159,13329,94.61,0.2979,0,22300,FALSE,-0.00788523849249212,0.006226270086482577,-1.266446585671125,-0.0016589684060095422,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-1.9589445542469608,-0.009576656292821895,0,NA
2005,Wiesbaden,35655,137508,145,396,83.91,0.2235,0,22300,FALSE,-0.023697240273912734,0.0034074517858169173,-6.954534286456956,-0.020289788488095817,-4.689046924908588,-0.011550843477815098,-2.0371673561880566,-0.00926936816937557,-2.4181349196678266,-0.010518676505748892,0,NA
2006,Berlin,311329,1887285,2303,2781,81.5,0.3703,0,17800,FALSE,-0.020753092351316615,0.00150233494333607,-13.813891797812081,-0.019250757407980545,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-9.28532931516727,-0.03500451632823676,0,NA
2006,Bonn,53300,159084,448,784,85.11,0.472,0,23000,FALSE,-0.003740985055133317,0.003579648072664865,-1.0450706268307388,-1.6133698246845185e-4,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-4.563691338374891,-0.023941560848338983,0,NA
2006,Chemnitz,31723,167978,222,253,88.18,0.25,1,17900,FALSE,-0.0023422625661932983,0.002093113741973296,-1.119032625520444,-2.491488242200024e-4,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-5.611238544068065,-0.02371868773117669,0,NA
2006,Dortmund,90310,307989,789,1247,77.8,0.6583,0,19100,FALSE,-0.03632305211730025,0.0033199419721572365,-10.940869576011957,-0.03300311014514301,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-4.09460917451652,-0.017327063845330226,0,NA
2006,Dresden,53726,290747,499,636,86.07,0.6,1,16600,FALSE,-0.012592336722163533,0.0018892702372694803,-6.665185569409569,-0.010703066484894053,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-5.784379438589947,-0.03358669897430877,0,NA
2006,Duisburg,79436,262134,404,595,71.74,0.6479,0,19200,FALSE,-0.03904943959668794,0.0024014816019128915,-16.260561632278694,-0.03664795799477505,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-8.659145750399706,-0.02890170093773592,0,NA
2006,Düsseldorf,153954,508802,6548,11148,88.76,0.5091,0,20600,FALSE,-0.01617421379876882,0.021484384967212167,-0.7528357839171415,0.005310171168443345,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-0.38818301774037,0.023942622825873894,1,NA
2006,Erfurt,26167,114814,244,274,83.18,NA,NA,17200,FALSE,0.001618796077769158,0.003668508144141658,0.44126822516511466,0.005287304221910816,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-9.69926706526666,-0.06794363800266678,0,NA
2006,Frankfurt,72511,349020,715,2109,86.82,0.4497,0,15800,FALSE,-0.02255470197915299,0.0049031194400510625,-4.6000719042076,-0.01765158253910193,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-0.6994935050980712,0.0015373720163008864,0,NA
2006,Hamburg,236546,881664,1882,3930,93.05,0.535,0,20300,FALSE,-0.00630559343027548,0.0030485627820835415,-2.0683823430941186,-0.0032570306481919387,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-1.5839736014212524,-0.0031279984139791495,1,NA
2006,Karlsruhe,581026,1312202,5810,8503,90.74,0.2478,0,20900,FALSE,-0.013355618668772773,0.005271648543756058,-2.533480477296173,-0.008083970125016715,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-1.9914478419465251,-0.008271439740424102,0,NA
2006,Köln,227451,718736,8335,14208,92.51,0.7003,0,19800,FALSE,-0.012649926424576963,0.018141043427439385,-0.6973097482057296,0.005491117002862422,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-0.5709218811312627,0.013537361576822948,1,NA
2006,Lübeck,40894,115312,373,482,80.6,0.1959,0,18400,FALSE,-0.031503705868489273,0.003363776062427215,-9.365577637697143,-0.02813992980606206,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-7.750198850854476,-0.030299629446442156,0,NA
2006,München,141836,751453,4082,16285,93.25,0.33,0,22900,FALSE,-0.01933043714313254,0.0070567822952083414,-2.7392707234653093,-0.012273654847924198,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,0.630695788026496,0.013279575234905527,0,NA
2006,Münster,121065,265262,5972,8550,84.41,0.3931,0,20900,FALSE,-0.01786182670401859,0.03002460768313342,-0.5949062479858022,0.012162780979114829,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-0.42141409261980917,0.03372215467612927,1,NA
2006,Potsdam,29738,100680,1132,1274,99.6,0.2,1,17700,FALSE,0.0031623107745266665,0.01554662526969497,0.20340818149717405,0.018708936044221636,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-1.3295780185775958,-0.009525656669912785,1,NA
2006,Stuttgart,844377,1874139,7705,14232,95.39,0.2979,0,22100,FALSE,-0.004141357791310418,0.005954085886521909,-0.6955488836137028,0.001812728095211491,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-1.79232318582501,-0.007114561028205735,1,NA
2006,Wiesbaden,35800,137904,191,461,83.69,0.2235,0,22600,FALSE,-0.015633052832587535,0.00319343757226509,-4.89536822900818,-0.012439615260322445,-2.3009314101951457,-0.005670500386604327,-3.0430285082315223,-0.013426360257621506,-4.3810976621943665,-0.019206115834356163,0,NA
2007,Berlin,313632,1890066,2271,3330,84.54,0.3703,0,18000,FALSE,-0.003927741003736829,0.0013277660460409013,-2.95815743703378,-0.0025999749576959275,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-10.042108868116383,-0.02716279505600483,0,NA
2007,Bonn,53748,159868,354,853,84.22,0.472,0,23500,FALSE,-0.003663962519361519,0.0033626543734026626,-1.0896042567865705,-3.0130814595885624e-4,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-6.003257779464721,-0.031138668045243567,0,NA
2007,Chemnitz,31945,168231,223,246,84.55,0.25,1,17800,FALSE,-0.01706759162572502,0.0017267854615385936,-9.884025552611222,-0.015340806164186427,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-2.5203589094036425,-0.005823760228848451,0,NA
2007,Dortmund,91099,309236,573,876,77.83,0.6583,0,19500,FALSE,-0.022164785065386772,0.0030295793534595994,-7.316126260259829,-0.019135205711927172,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-6.32428910654888,-0.03006476465315222,0,NA
2007,Dresden,54225,291383,353,522,85.79,0.6,1,16900,FALSE,-0.016031026018809125,0.0017442636424911395,-9.1907127043672,-0.014286762376317985,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-4.94038346596678,-0.016079009145139933,0,NA
2007,Duisburg,79840,262729,455,855,68.85,0.6479,0,19200,FALSE,-0.032625273309107916,0.002178371081481112,-14.97691260523227,-0.030446902227626804,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-12.29762053001916,-0.038816987929226276,0,NA
2007,Düsseldorf,160502,519950,6073,10858,84.96,0.5091,0,21100,FALSE,-0.010512332120208967,0.020024144874220884,-0.524982823798012,0.009511812754011917,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-0.8553487994750023,0.00483181621756934,1,NA
2007,Erfurt,26411,115088,144,206,86.78,NA,NA,17300,FALSE,0.045862607592839,0.003262256899577265,14.05855179547081,0.049124864492416265,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-15.755378402493436,-0.09574039914504906,0,NA
2007,Frankfurt,73226,351129,816,2746,86.66,0.4497,0,16300,FALSE,-0.01667235299193548,0.005187868787603689,-3.213719096322124,-0.01148448420433179,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-2.149314792183051,-0.005125149543148688,0,NA
2007,Hamburg,238428,885594,1318,2899,91.47,0.535,0,20900,FALSE,-0.008107736769883522,0.003159376448086171,-2.5662458725977015,-0.0049483603217973515,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,0.8079068408173271,0.008168808174958464,1,NA
2007,Karlsruhe,586836,1320705,4925,8807,87.94,0.2478,0,21200,FALSE,-0.01648256296869055,0.0052401403489859,-3.1454430360592047,-0.01124242261970465,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-2.2294117129737976,-0.008817035972047416,0,NA
2007,Köln,235786,732944,7497,12899,89.73,0.7003,0,20400,FALSE,-0.01819818744768753,0.017421149839506933,-1.0446031183555098,-7.770376081805974e-4,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-0.6284930873169223,0.009750696079676713,1,NA
2007,Lübeck,41267,115794,237,336,76.62,0.1959,0,18400,FALSE,-0.02278766253815223,0.0035647607462803155,-6.392480213975157,-0.019222901791871916,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-14.18110840998597,-0.03558213493568363,0,NA
2007,München,145918,767738,1857,6044,91.85,0.33,0,23600,FALSE,-0.01760443348640739,0.009692877600041783,-1.816223645115616,-0.007911555886365607,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-0.11678837586567808,0.006762302314799351,0,NA
2007,Münster,127037,273812,5507,8524,82.01,0.3931,0,21300,FALSE,-0.02433390244874556,0.028716302316189157,-0.8473898268938,0.004382399867443598,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-0.42393169036217476,0.02909074222285779,1,NA
2007,Potsdam,30870,101954,1080,1248,115.84,0.2,1,18400,FALSE,0.01394548666847717,0.012470478629779125,1.1182799860765384,0.026415965298256294,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,0.548410973427056,0.037044010217532675,1,NA
2007,Stuttgart,852082,1888371,6592,12538,93.81,0.2979,0,22700,FALSE,-0.0045632319332888915,0.005903033992548989,-0.7730316205274709,0.0013398020592600979,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-1.6361058756216627,-0.005054613901826266,1,NA
2007,Wiesbaden,35991,138365,227,568,81.15,0.2235,0,23100,FALSE,-0.016434269648653577,0.0030913776256469294,-5.3161637427631945,-0.013342892023006647,-2.762201654815741,-0.006429958104081479,-2.37488531118872,-0.0073203981004479335,-7.430508156106012,-0.029271110689307878,0,NA
2008,Berlin,315903,1893396,3642,5984,84.7,0.3703,0,18200,FALSE,0.010701143095319887,0.0013442683497912888,7.9605705936477245,0.012045411445111176,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-19.318955771021965,-0.040686469429162764,0,NA
2008,Bonn,54102,160721,340,777,82.18,0.472,0,23800,FALSE,-0.017052300912751117,0.003761567438062219,-4.533296609334659,-0.013290733474688898,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-4.629064268783393,-0.017099174045311805,0,NA
2008,Chemnitz,32168,168477,179,263,86.58,0.25,1,18000,FALSE,-0.0021801699157953935,0.0015312528149380444,-1.42378181742876,-6.489171008573491e-4,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-9.103702150614113,-0.023398660363594392,0,NA
2008,Dortmund,91672,310112,393,679,70.02,0.6583,0,19700,FALSE,-0.03151880174446253,0.0026778383568779596,-11.770240598543706,-0.028840963387584573,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-7.637965485486148,-0.03345181207519077,0,NA
2008,Dresden,54578,291905,384,552,81.94,0.6,1,17500,FALSE,-0.014861674679686354,0.0016933632731088721,-8.776424359553738,-0.013168311406577482,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-9.1548049687768,-0.021874422484966516,0,NA
2008,Duisburg,80295,263584,229,504,69.02,0.6479,0,19500,FALSE,-0.022960238264097987,0.0022619912701067335,-10.150453968380964,-0.020698246993991254,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-15.925770447984842,-0.046534105931082204,0,NA
2008,Düsseldorf,166575,530808,4967,8740,84.97,0.5091,0,21700,FALSE,-0.013575302891477237,0.01842846291515632,-0.7366486805751095,0.004853160023679082,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-0.6487579473658991,0.010139738461869108,1,NA
2008,Erfurt,26555,115294,222,277,87.97,NA,NA,17600,FALSE,0.003352774631876443,0.0023443598570809243,1.4301450443922652,0.005697134488957367,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-4.661855772737861,-0.022438462702352946,0,NA
2008,Frankfurt,74042,353875,572,1904,87.72,0.4497,0,17200,FALSE,-0.0017012687879437438,0.005154563283122249,-0.33005100422653894,0.003453294495178505,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-5.1314513582523755,-0.01948689475883869,0,NA
2008,Hamburg,239746,888493,1527,3474,90.02,0.535,0,21600,FALSE,-0.00867852478103004,0.0029838931237049504,-2.908456979268195,-0.005694631657325089,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-3.0542937479001835,-0.008229693688868833,0,NA
2008,Karlsruhe,591761,1329512,3745,6352,85.78,0.2478,0,21900,FALSE,-0.016202004242711676,0.0052854458861399944,-3.0653997016974732,-0.010916558356571682,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-2.2655041177829327,-0.007954317417975254,0,NA
2008,Köln,243283,745843,6551,12876,83.31,0.7003,0,20700,FALSE,-0.022688833483564763,0.016500379251833674,-1.3750492117351405,-0.006188454231731089,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-0.6189749850985259,0.008297000615904992,0,NA
2008,Lübeck,41504,116130,219,319,71.63,0.1959,0,18400,FALSE,-0.01623790935194913,0.0030238808760016944,-5.369890553830148,-0.013214028475947437,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-17.73283729943487,-0.04634339812792532,0,NA
2008,München,147775,773782,1635,5925,91.37,0.33,0,24200,FALSE,-0.01200972993321947,0.009855200165760802,-1.2186185700158574,-0.0021545297674586683,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-0.8420741856021101,0.0011159597051547676,1,NA
2008,Münster,132544,282336,3748,6481,79.48,0.3931,0,21800,FALSE,-0.02420716912641474,0.027175046207055686,-0.8907866776737855,0.002967877080640946,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-0.5161314981789523,0.019874829172107367,1,NA
2008,Potsdam,31950,103202,1016,1337,113.47,0.2,1,19100,FALSE,0.034283664540820435,0.011762228330040925,2.9147253036450067,0.04604589287086136,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-0.4343020048073612,0.010941298322975412,1,NA
2008,Stuttgart,858674,1900909,5143,10864,90.35,0.2979,0,23300,FALSE,-0.010320112082978672,0.005804902424153324,-1.7778269691559743,-0.004515209658825348,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-1.421659010083037,-0.002928308124553136,0,NA
2008,Wiesbaden,36218,138933,235,453,79.8,0.2235,0,23500,FALSE,-0.01314916571097291,0.0029598906352084065,-4.442449850869938,-0.010189275075764503,-1.6008043932923672,-0.005104920658075218,-4.645460020760627,-0.018293034402075248,-8.099901951516578,-0.027514415247089752,0,NA
2009,Berlin,319545,1899380,2974,5666,82.83,0.3703,0,18400,FALSE,0.006700271933252289,0.0016166519893794362,4.144535730181631,0.008316923922631725,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-18.677279794808605,-0.031783585984839435,0,2005-2009
2009,Bonn,54442,161498,356,673,84.37,0.472,0,24200,FALSE,-0.0073723242209587925,0.003700210696259809,-1.9924066022539673,-0.0036721135246989833,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-1.4696157635055411,-0.0019985980364617406,0,2005-2009
2009,Chemnitz,32347,168740,153,192,81.94,0.25,1,18000,FALSE,-0.017209747676361187,0.0012897925919059805,-13.343034984353277,-0.015919955084455206,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-5.840239991299158,-0.012270160907151273,0,2005-2009
2009,Dortmund,92065,310791,434,775,68.16,0.6583,0,20000,FALSE,-0.0326360235705877,0.0023511815492534005,-13.880690574894576,-0.0302848420213343,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-7.639576508137229,-0.031047467875336965,0,2005-2009
2009,Dresden,54962,292457,314,476,82.07,0.6,1,17800,FALSE,-0.008317657822533797,0.0015755132070300881,-5.279332337818322,-0.006742144615503709,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-8.973085590414595,-0.01685689565949433,0,2005-2009
2009,Duisburg,80524,264088,234,334,63.22,0.6479,0,19200,FALSE,-0.030604948645556962,0.002016013298751007,-15.180925971330561,-0.028588935346805955,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-14.462874709994997,-0.03616076384811495,0,2005-2009
2009,Düsseldorf,171542,539548,4073,7297,86.62,0.5091,0,22100,FALSE,-0.005160421930877512,0.016239125557611978,-0.3177770818120561,0.011078703626734465,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-0.7365269553637733,0.0063878110384107956,1,2005-2009
2009,Erfurt,26777,115571,155,233,91.42,NA,NA,17900,FALSE,0.003649328470255897,0.002128238364137003,1.7147179243410047,0.0057775668343929,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-6.266192509914206,-0.02040661260379284,0,2005-2009
2009,Frankfurt,74614,355779,590,2564,90,0.4497,0,17400,FALSE,0.009815896034414795,0.005335939213437113,1.839581682208097,0.015151835247851908,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-7.022392902253834,-0.026791159171839607,0,2005-2009
2009,Hamburg,241273,891967,1190,3187,95.14,0.535,0,22100,FALSE,0.007348676567714207,0.0029723957834912884,2.472307560294904,0.010321072351205496,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-3.5378538585180186,-0.00875787546296558,1,2005-2009
2009,Karlsruhe,595506,1335864,3782,7140,86.07,0.2478,0,22200,FALSE,-0.007518796330894806,0.004863927099588716,-1.5458283352007023,-0.0026548692313060895,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-2.9200189974172392,-0.010831526048478923,0,2005-2009
2009,Köln,249834,758719,5731,10799,89.6,0.7003,0,21000,FALSE,-0.003795678468240471,0.014964189507971293,-0.25365078851871975,0.011168511039730822,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-0.7691739549977799,0.004496443051765775,1,2005-2009
2009,Lübeck,41723,116449,196,618,75.08,0.1959,0,18200,FALSE,-0.008059278196587805,0.002674853411253064,-3.012979388957374,-0.0053844247853347404,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-10.875889136870445,-0.03184913035517156,0,2005-2009
2009,München,149410,779707,1317,5460,95.13,0.33,0,24500,FALSE,3.788597412446304e-4,0.009154622088636932,0.041384530958944295,0.009533481829881563,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-1.963771467186916,-0.006647291717516879,1,2005-2009
2009,Münster,136292,288817,3340,5565,83.3,0.3931,0,22400,FALSE,-0.009767178617844818,0.023865149171027555,-0.4092653495626265,0.014097970553182737,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-0.599068156260312,0.01406145611293974,0,2005-2009
2009,Potsdam,32966,104539,963,1495,114.72,0.2,1,19500,FALSE,0.0241243186024529,0.010943477657932021,2.2044471927959,0.03506779626038492,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,0.23285884890167946,0.019449942327042224,1,2005-2009
2009,Stuttgart,863817,1911773,4629,10268,93.58,0.2979,0,23700,FALSE,-0.0021869038892931014,0.005418468472700999,-0.4036018480703595,0.0032315645834078977,-0.406433598816493,0.004504565708900399,-4.689046924908588,-0.011550843477815098,-1.266446585671125,-0.0016589684060095422,0,2005-2009
