year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany,mean_income,median_income,germany_median,distance_internal,dist_increased_5y,dist_to_germany,grow5_index_ann,grow5_hu_ann,p_q5,growth5sum,demand_cutoff,demand_cutoff_lag,inelasticity_cutoff,inelasticity_cutoff_lag,p_q5_lag,growth5sum_lag,superstar,growth_window,superstar_ever
1995,Berlin,276583,1770346,3036,13264,125.88,0.3703,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1995,Bonn,49524,146056,474,2055,98.6,0.472,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1995,Chemnitz,26649,154189,287,1017,129.83,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1995,Dortmund,82287,288305,478,2280,101.98,0.6583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1995,Dresden,45351,255155,698,4804,119.86,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1995,Duisburg,73447,248968,621,2112,102.75,0.6479,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1995,Düsseldorf,64014,305959,8192,24016,109.35,0.5091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,0
1995,Erfurt,21181,104022,540,1437,147.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1995,Frankfurt,66339,325982,256,1720,102.11,0.4497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
1995,Hamburg,218380,823926,1648,7071,106.51,0.535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5322569561262933,0.5322569561262933,NA,NA,NA,NA,1
